ManufacturerProvCode,ManufacturingTypeEn,MoisturePercent,FlavourEn,CharacteristicsEn,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,CheeseName,FatLevel
ON,Industrial,,"Soft, delicate and mild buttery flavour.",Smooth ultra-creamy texture,0,Fresh Cheese,Cow,Pasteurized,,Mascarpone (Silani),higher fat
ON,Industrial,55.0,,Low in fat,0,Semi-soft Cheese,Cow,Pasteurized,,Élan (L') (Fromagerie St-Albert),lower fat
ON,Industrial,48.0,Refreshing,"Mild, refreshing, with a smooth  texture.",0,Fresh Cheese,Cow,Pasteurized,No Rind,Bocconcini (Tre Stelle),lower fat
ON,Industrial,40.0,Mild flavor of brie,Smooth,0,Semi-soft Cheese,Cow,Pasteurized,,Borgonzola (Tre Stelle),higher fat
ON,Industrial,42.0,"Milder, milky and sweet acidulous edge",,0,Semi-soft Cheese,Cow,Pasteurized,,Brick (Tre Stelle),lower fat
ON,Industrial,55.0,Salty and tangy,,0,Soft Cheese,Cow,Pasteurized,,Feta (Tre Stelle),lower fat
ON,Industrial,46.0,Buttery with a lightly acidulous taste,Smooth texture,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Havarti (Dofino),higher fat
ON,Industrial,54.0,,"Triple cream, rich, smooth texture",0,Soft Cheese,Cow,Pasteurized,,Mascarpone (Tre Stelle),higher fat
ON,Industrial,48.0,,"Available in Mozzarella - 20% milk fat, 25% milk fat, 16% milk fat, sliced",0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Mozzarella (Tre Stelle),lower fat
ON,Industrial,22.0,"Rich, fruity and nutty taste.",,0,Hard Cheese,Cow,Pasteurized,No Rind,Parmesan (Tre Stelle),higher fat
BC,Farmstead,,,,1,Firm Cheese,Ewe,Pasteurized,,Aged Sheep Milk Cheese,lower fat
BC,Farmstead,38.0,Rich with a sweet caramel finish,"Also available: mild, medium, light and in many flavours.",1,Firm Cheese,Cow,Thermised,No Rind,Extra Aged Gouda (Gort's Gouda),higher fat
BC,Farmstead,38.0,Nutty flavour,,1,Firm Cheese,Cow,Raw Milk,,Maasdammer,higher fat
ON,Industrial,,medium and marble,Contains probiotics,0,Firm Cheese,Cow,Pasteurized,,Kraft LiveActive,lower fat
ON,Artisan,56.0,"Balkan, middle eastern flavoured cheese","Rich Flavour, similar to ""kaymak"" or ""Lebene"", Balkan, middle eastern flavoured cheese",0,Fresh Cheese,Cow,Pasteurized,,Creamy Feta (Triple A Cheese),lower fat
AB,Industrial,55.0,Slightly salty,Cured in brine,0,Semi-soft Cheese,Cow and Goat,Pasteurized,,Vlahos Feta,lower fat
AB,Industrial,26.0,,,0,Firm Cheese,Ewe and Cow,Pasteurized,,Kefalotri / Saganaki,higher fat
ON,Industrial,20.0,Mild to strong nutty and salty flavour,50-50 Blend of shredded parmesan and romano cheeses,0,Hard Cheese,Cow,Pasteurized,No Rind,Shredded Parmesan with Romano Cheese,lower fat
ON,Industrial,92.0,,,0,Fresh Cheese,Cow,Pasteurized,,Burrino (Salerno),lower fat
ON,Industrial,52.0,Similiar to Provolone,Gourd-shaped similar to Caciocavallo,0,Semi-soft Cheese,Cow,Pasteurized,,Scamorza (Salerno),lower fat
ON,Industrial,45.0,mildly tangy and fruity,,0,Firm Cheese,Cow,Pasteurized,,Provolone (Tre Stelle),lower fat
ON,Industrial,74.0,"Milky, smooth and creamy",,0,Fresh Cheese,Cow,Pasteurized,No Rind,Ricotta (Tre Stelle),lower fat
BC,Farmstead,60.0,"Plain, with garlic/parsley, lemon/pepper or with chanterelle or porcini. Very mild taste.",Very creamy texture,0,Soft Cheese,Goat,Pasteurized,,Okanagan Goat Cheese,lower fat
BC,Farmstead,55.0,"Available with basil and tomato, garlic and oregano",,1,Fresh Cheese,Cow,Thermised,,Feta (Gort's Gouda),lower fat
ON,Industrial,31.0,Very sharp,"Extra firm, white cheese",0,Hard Cheese,Cow,Pasteurized,No Rind,Cheddar (Thornloe),higher fat
ON,Industrial,52.0,,"Also available: ""Fior de Latte"", ""Fior de Latte Treccia"", in block or ball shape.",0,Semi-soft Cheese,Cow,Pasteurized,,Mozzarella (International Cheese),lower fat
ON,Industrial,45.0,Also available: Pignata,,0,Firm Cheese,Cow,Pasteurized,,Santa Lucia Provolone (International Cheese),lower fat
ON,Industrial,62.0,,,0,Fresh Cheese,Cow,Pasteurized,No Rind,Ricotta (International Cheese),lower fat
ON,Industrial,45.0,,,0,Semi-soft Cheese,Cow,Pasteurized,,Scamorza (International Cheese),lower fat
ON,Industrial,52.0,,"A smooth, luxurious texture reminiscent of baked custard, rennet free",0,Fresh Cheese,Cow,Pasteurized,,St.John's Cow (Portuguese),lower fat
ON,Industrial,70.0,,"A soft, yogurt-like texture, delicate curd and sweet milk flavour",0,Fresh Cheese,Goat,Pasteurized,,St. John's Goat (Portuguese),lower fat
ON,Industrial,40.0,Sharp flavour,Dry and smooth texture.,0,Semi-soft Cheese,Cow,Pasteurized,,Corvo Semi-Soft Cheese (Portuguese),higher fat
ON,Industrial,40.0,hint of sourness,Creamy texture,0,Semi-soft Cheese,Cow,Pasteurized,,Sao Miguel,lower fat
ON,Industrial,40.0,almost sweet,,0,Semi-soft Cheese,Goat,Pasteurized,Washed Rind,Graciosa Semi-Soft Goat Cheese (Portuguese),higher fat
ON,Industrial,50.0,Mild with slightly salty taste,,0,Semi-soft Cheese,Cow,Pasteurized,,Serra  (Portuguese Cheese Company),lower fat
ON,Industrial,52.0,Tangy,Golden yellow,0,Semi-soft Cheese,Cow,Pasteurized,,Vaquinha  (Portuguese),lower fat
ON,Industrial,27.0,"Mild, bittersweet taste","Soft, white cheese",0,Soft Cheese,Cow,Pasteurized,No Rind,Swiss (Thornloe),higher fat
ON,Industrial,41.0,Light and milk with a fresh butter taste,"Rindless, smooth and gleaming surface yellow in color",0,Firm Cheese,Cow,Pasteurized,No Rind,Colby (Thornloe),higher fat
ON,Industrial,52.0,,Also available:  Bocconcini Pearl et regular Bocconcini,0,Soft Cheese,Cow,Pasteurized,,Mini Bocconcini (International Cheese),lower fat
ON,Industrial,45.0,,,1,Firm Cheese,Cow,Pasteurized,,Cacciocavallo (International Cheese),lower fat
ON,Industrial,39.0,,,0,Firm Cheese,Cow,Pasteurized,,Friulano (International Cheese),lower fat
ON,Industrial,57.0,,,0,Semi-soft Cheese,Cow,Pasteurized,,Bocconcini (Salerno),lower fat
ON,Industrial,62.0,,,0,Soft Cheese,Cow,Pasteurized,,Tuma Cheese (Fresh Cheese)(Salerno),lower fat
ON,Industrial,,,,0,Semi-soft Cheese,Cow,Pasteurized,,Mozzarella (Salerno),lower fat
ON,Industrial,42.0,"Mild cheese, becomes stronger with age",Brick is a white to ivory rindless firm cheese with a springy texture.,0,Firm Cheese,Cow,Pasteurized,No Rind,Brick (Salerno),lower fat
ON,Industrial,52.0,,,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Caciotta (Salerno),lower fat
ON,Industrial,34.0,Taste is mild and tangy that intensifies with age,"Wheel-shaped with small ridges, yellow rind with an ivory interior",0,Hard Cheese,Cow,Pasteurized,,Romanello (Salerno),lower fat
ON,Industrial,38.0,,,0,Fresh Cheese,Cow and Goat,Pasteurized,No Rind,Ricotta (Skotidakis),lower fat
ON,Artisan,80.0,,Ricotta is made from sweet whey,0,Fresh Cheese,Ewe,Pasteurized,No Rind,Ricotta (Shepherd Gourmet),lower fat
ON,Artisan,55.0,,,0,Semi-soft Cheese,Ewe,Pasteurized,No Rind,Krinos Sheep Feta (Shepherd Gourmet),lower fat
ON,Artisan,68.0,,,0,Fresh Cheese,Goat,Pasteurized,,Fresh Chèvre,lower fat
ON,Industrial,57.0,"Mild and tangy (plain, fines herbs, peppercorn, roasted garlic)","Smooth, creamy texture.",0,Fresh Cheese,Goat,Pasteurized,,Chevrai (Woolwich),lower fat
NS,Industrial,55.0,,,0,Semi-soft Cheese,Cow,Pasteurized,,Holmestead Feta,lower fat
ON,Industrial,40.0,,,0,Firm Cheese,Cow,Pasteurized,,Asiago (Ivanhoe Cheese),higher fat
ON,Industrial,32.0,,,0,Firm Cheese,Cow,Pasteurized,,Parmesan (Ivanhoe),lower fat
ON,Industrial,34.0,,,0,Firm Cheese,Cow,Pasteurized,,Romano (Ivanhoe),lower fat
ON,Industrial,43.0,Plain or Smoked,,0,Firm Cheese,Cow,Pasteurized,,Gouda (Ivanhoe),lower fat
ON,Industrial,55.0,,,0,Soft Cheese,Cow,Pasteurized,,Feta (Ivanhoe),lower fat
PE,Farmstead,43.0,"mild, medium old, cumin, fenugreek, 4-pepper, garlic, herb and garlic, onion & red pepper, pepper & mustard, peppercorn, red chili pepper.",,0,Firm Cheese,Cow,Pasteurized,,Gouda (Cheeselady's),lower fat
ON,Industrial,39.0,"Mild, medium, old, extra-old, supreme ( 3 yr. Old), 4 year-old",,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar (Empire Cheese),higher fat
ON,Farmstead,37.0,Goaty flavour,White body,0,Hard Cheese,Goat,Pasteurized,,Cheddar (Celebrity International),higher fat
ON,Farmstead,37.0,Sweet notes,Creamy smooth,0,,Goat,Pasteurized,,Goat Lindsay Bandaged Cheddar (Celebrity International),higher fat
ON,Industrial,37.0,Herbs and Garlic,Marble,0,Firm Cheese,Goat,Pasteurized,No Rind,Cheddar (Mornington Dairy),higher fat
ON,Artisan,34.0,Flavour ranges from horseradish to citrus,"Hay colored, natural rind cheese",0,Semi-soft Cheese,Ewe,Raw Milk,,Tomme de Gaston,higher fat
ON,Industrial,37.0,,,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddars (Black Diamond),higher fat
ON,Industrial,44.0,"Mild, slightly acidulous","Interior-ripened, rindless, pale in colour",0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Monterey Jack (Black Diamond),lower fat
BC,Industrial,,,,0,Soft Cheese,Cow,Pasteurized,,Bocconcini (Scardillo),lower fat
BC,Industrial,,,,0,Firm Cheese,Cow,Pasteurized,,Edam (Scardillo),lower fat
BC,Farmstead,27.0,,Stilton-style blue cheese,1,Veined Cheeses,Cow,Raw Milk,,Blossom's Blue,higher fat
BC,Farmstead,40.0,Pepper flavour,,1,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Savoury Moon,lower fat
BC,Farmstead,35.0,Strong,Also made with raw milk.,1,Veined Cheeses,Cow,Pasteurized,,Beddis Blue,higher fat
BC,Farmstead,40.3,,"milder than a camembert, stronger than a brie",1,Soft Cheese,Cow,Pasteurized,Bloomy Rind,White Moon,lower fat
BC,Farmstead,27.0,Will sweeten on the palate,,1,Hard Cheese,Cow,Raw Milk,,White Grace,higher fat
BC,Farmstead,40.3,Sweet buttery blue,Fresh blue cheese,1,Veined Cheeses,Cow,Pasteurized,,Baby Blue,lower fat
BC,Farmstead,40.3,,,1,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Ash-Ripened Camembert,lower fat
BC,Farmstead,30.0,"Buttery, nutty flavour",,0,Hard Cheese,Cow,Raw Milk,,Tomme d'Or (Moonstruck Organic),lower fat
MB,Farmstead,42.0,,,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Farmers (Bothwell),lower fat
QC,Farmstead,43.0,,,0,Semi-soft Cheese,Ewe,Raw Milk,Washed Rind,Tomme du Kamouraska (La),higher fat
QC,Farmstead,45.0,Mild and lactic flavor with a touch of hazelnut.,"Smooth, firm, shiny and creamy texture. Cream-colored.",0,Firm Cheese,Cow,Pasteurized,,Albani (L'),higher fat
QC,Farmstead,45.0,Lactic and fruity,Orange-colored washed rind sprinkled with white mold. Pressed and uncooked yellowy-creamy colored cheese. Smooth and supple texture. Shows small holes.,0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Chant du Coq (Le),lower fat
QC,Farmstead,52.0,"Flavors of cream, mushrooms and nuts",Creamy to ivory-colored. Smooth and runny texture.,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,François Paradis (Le),higher fat
QC,Farmstead,52.0,"Cream, mushroom and almond aroma",White and velvety rind. White to creamy-colored interior. Smooth and runny texture.,0,Soft Cheese,Cow,Pasteurized,Bloomy Rind,Maria Chapdelaine (Le),higher fat
QC,Farmstead,45.0,"Mild and lactic. Avalaible seasoned with garlic flower, dried tomatoes and basil, italian and provençal herbs","Creamy colored cheddar with a firm, smooth and shiny texture",0,Firm Cheese,Cow,Pasteurized,No Rind,Normandises (Les),higher fat
QC,Farmstead,52.0,,,0,Soft Cheese,Cow,Pasteurized,Washed Rind,Péribonka (Le),higher fat
QC,Artisan,50.0,Hazelnut flavor,"Creamy texture, orange rind",0,Soft Cheese,Cow,Pasteurized,Washed Rind,14 Arpents (Le),lower fat
QC,Artisan,34.0,Fruity,"Cheddar aged under vacuum, unctuous texture",0,Firm Cheese,Cow,Pasteurized,,Gédéon (Le),higher fat
QC,Artisan,50.0,"Mild, slightly sweet",Mixt shiny rind,0,Soft Cheese,Cow,Pasteurized,,Rang des Îles (Le),lower fat
QC,Artisan,34.0,Woody,Aged cheddar,0,Firm Cheese,Cow,Raw Milk,,Petits Vieux (Les),higher fat
QC,Artisan,83.0,,Fresh creamy cheese,0,Fresh Cheese,Cow,Pasteurized,,Couventine (Le),lower fat
QC,Artisan,39.0,Mild,"Cheddar, curds or blocks",0,Firm Cheese,Cow,Pasteurized,No Rind,Médard (Le),higher fat
QC,Artisan,52.0,Mushroomy and buttery,Sometimes a chalky center,0,Soft Cheese,Cow,Raw Milk,Bloomy Rind,Brise des Vignerons (La),lower fat
QC,Artisan,35.0,Fruity and hazelnutty,Light yellow rind,0,Firm Cheese,Cow,Raw Milk,Washed Rind,Zéphyr (Le),higher fat
QC,Artisan,39.0,"Hazelnut flavor. Available; mild, medium, strong and extra strong",Creamy-colored,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar Beauceron,higher fat
QC,Artisan,51.7,,,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar léger 6% (Fromagerie Gilbert),lower fat
QC,Artisan,47.9,,,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar léger 12% (Fromagerie Gilbert),lower fat
QC,Artisan,31.0,,Preserved in brine,0,Firm Cheese,Cow,Pasteurized,No Rind,Torti-Beauceron,higher fat
QC,Artisan,42.0,Hazelnut flavor that intensifies with age,Cream-colored cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar Le Bourgadet doux,lower fat
QC,Artisan,42.0,"Hazelnut flavor. Available aged 2 months, 6 months or 2 years",Cheddar-type.  Cream-colored,0,Firm Cheese,Cow,Pasteurized,No Rind,Rivière blanche,lower fat
QC,Artisan,42.0,Salty,Stretched and twisted cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Twist arménien,lower fat
QC,Artisan,39.0,,"Daily fresh, cheese curds or blocks",0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar (Fromagerie Port-Joli),higher fat
QC,Artisan,39.0,"Hazelnut flavor that intensifies with age. Available; mild, medium, strong and extra strong",Creamy-colored giving off a buttery aroma,1,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar Bio d'Antan,higher fat
QC,Artisan,39.0,,Fresh cheese curds or blocks,1,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar La Chaudière,higher fat
QC,Farmstead,39.0,Fruit and hazelnut flavors,Pressed and not cooked  cheese,0,Firm Cheese,Cow,Raw Milk,Brushed Rind,Blackburn (Le),higher fat
QC,Farmstead,46.0,"Mild, milky flavor","Not cooked cheese, interior-ripened",0,Semi-soft Cheese,Cow,Pasteurized,,Cabouron (Le),lower fat
QC,Farmstead,39.0,Slight buttery and nutty taste,Pressed and uncooked cheese,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar Blackburn (Le),higher fat
QC,Farmstead,46.0,Pronounced with fruity aroma,Interior-ripened,0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Mont-Jacob (Le),lower fat
QC,Farmstead,39.0,"Mild, fruity, leaves a spicy taste in mouth",Cooked,0,Firm Cheese,Cow,Raw Milk,Washed Rind,Napoléon (Le),higher fat
QC,Farmstead,37.0,Hazelnut flavour that intensifies with age,Aged cheddar,0,Firm Cheese,Cow,Raw Milk,No Rind,Valida Doux (Le),higher fat
QC,Farmstead,37.0,Hazelnut flavour that intensifies with age,Aged cheddar,0,Firm Cheese,Cow,Raw Milk,No Rind,Valida Moyen (Le),higher fat
QC,Farmstead,37.0,Hazelnut flavour that intensifies with age,Aged cheddar,0,Firm Cheese,Cow,Raw Milk,No Rind,Valida Fort (Le),higher fat
